timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-20 16:13:49,0.0004,0.0013,0.0004,0.0013,0.0004,0.0004,7.2217,0.0004,3.0970,7.2217,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:13:50,0.0000,0.0004,0.0000,0.0010,0.0004,0.0004,7.2334,0.0004,3.0849,7.2217,0.0004,0.0010,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0010,3.0849
2025-07-20 16:13:51,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2217,0.0004,3.1087,7.2338,0.0004,0.0004,0.0013,0.0004,0.0004,0.0004,0.0004,0.0007,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:13:52,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.0970,7.2334,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0010,0.0004,3.0970
2025-07-20 16:13:53,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2217,0.0004,3.0970,7.2217,0.0000,0.0004,0.0004,0.0004,0.0013,0.0004,0.0004,0.0000,0.0000,0.0004,0.0004,3.0970
2025-07-20 16:13:54,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,7.2338,0.0004,3.1091,7.2338,0.0010,0.0004,0.0000,0.0010,0.0004,0.0013,0.0004,0.0004,0.0004,0.0000,0.0004,3.1091
2025-07-20 16:13:55,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,7.2217,0.0004,3.0970,7.2217,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:13:56,0.0000,0.0004,0.0004,0.0004,0.0004,0.0000,7.2701,0.0000,3.1091,7.2701,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0849
2025-07-20 16:13:57,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2459,0.0004,3.0970,7.2459,0.0004,0.0013,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1212
2025-07-20 16:13:58,0.0004,0.0004,0.0004,0.0004,0.0004,0.0010,7.2096,0.0004,3.0970,7.2096,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,3.0849
